experiment_name,max_frequency,condition_name,requested_snr_db,manifest_rows,npy_file_count,npy_count_matches_manifest,source_wav_groups,heat_flux_levels,realized_snr_mean_db,realized_snr_median_db,realized_snr_std_db,realized_snr_min_db,realized_snr_max_db,mean_signal_chunk_power,mean_scaled_noise_chunk_power,fixed_reference_signal_rms,noise_scaling_mode,pair_noise_across_snr,max_relative_noise_power_error,chunk_manifest_sha256
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=0,0,1080,1080,True,18,18,6.828698941,-6.505453606,19.79504624,-14.56382083,36.50407691,0.0001582081335,2.325361144e-07,0.0004822199855,fixed_global_rms,True,4.089941828e-13,1fa5e2cd028c4fc55aecfad77131eee08c62b89b154f1dc6c1b1b46da4c78d4e
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_no_noise,,1080,1080,True,18,18,,,,,,0.0001582081335,,0.0004822199855,fixed_global_rms,True,,d186e3e4cee7853541bd858ceb3ffe2bea2d59800f784c125824e4209096cc4b
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-12,-12,1080,1080,True,18,18,-5.171301059,-18.50545361,19.79504624,-26.56382083,24.50407691,0.0001582081335,3.685449048e-06,0.0004822199855,fixed_global_rms,True,4.088705592e-13,e1442eef2b2404bdc8515054899751ebcc8c80b63a09f6629f224258c2c80a04
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-16,-16,1080,1080,True,18,18,-9.171301059,-22.50545361,19.79504624,-30.56382083,20.50407691,0.0001582081335,9.257429457e-06,0.0004822199855,fixed_global_rms,True,4.088114553e-13,14e6accf8fed7ddd8f9689dacb0ef14ea10b289384f12a6bd3fba510b8138fc7
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-20,-20,1080,1080,True,18,18,-13.17130106,-26.50545361,19.79504624,-34.56382083,16.50407691,0.0001582081335,2.325361144e-05,0.0004822199855,fixed_global_rms,True,4.088439261e-13,45f0f259010c0b713916c81aaeaf8a2e913a74f34f27f165995cccd38f24b04d
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-4,-4,1080,1080,True,18,18,2.828698941,-10.50545361,19.79504624,-18.56382083,32.50407691,0.0001582081335,5.841043107e-07,0.0004822199855,fixed_global_rms,True,4.089394424e-13,e77cb0ad2f3a6c103f4b44a74ea34b4938ea2516114d82ce62ca3211a0da97cc
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=-8,-8,1080,1080,True,18,18,-1.171301059,-14.50545361,19.79504624,-22.56382083,28.50407691,0.0001582081335,1.467203693e-06,0.0004822199855,fixed_global_rms,True,4.088805719e-13,5ae78634649f76f6dc36ddd99ab5bbde77be045edbc831ec0866529fc65a2377
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_reference_SNR=0,0,1080,1080,True,18,18,6.828698941,-6.505453606,19.79504624,-14.56382083,36.50407691,0.0001582081335,2.325361144e-07,0.0004822199855,fixed_global_rms,True,4.089941828e-13,1fa5e2cd028c4fc55aecfad77131eee08c62b89b154f1dc6c1b1b46da4c78d4e
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_no_noise,,1080,1080,True,18,18,,,,,,0.0001582081335,,0.0004822199855,fixed_global_rms,True,,d186e3e4cee7853541bd858ceb3ffe2bea2d59800f784c125824e4209096cc4b
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-12,-12,1080,1080,True,18,18,-5.171301059,-18.50545361,19.79504624,-26.56382083,24.50407691,0.0001582081335,3.685449048e-06,0.0004822199855,fixed_global_rms,True,4.088705592e-13,e1442eef2b2404bdc8515054899751ebcc8c80b63a09f6629f224258c2c80a04
